timestamp,demand_mw,temperature_c
2024-01-01 00:00:00+00:00,109.608947,-0.729967
2024-01-01 01:00:00+00:00,106.996142,-0.716325
2024-01-01 02:00:00+00:00,109.499783,-0.276076
2024-01-01 03:00:00+00:00,109.205042,-1.631226
2024-01-01 04:00:00+00:00,109.589448,-1.285630
2024-01-01 05:00:00+00:00,109.373177,-0.934894
2024-01-01 06:00:00+00:00,112.940366,0.136944
2024-01-01 07:00:00+00:00,117.192055,0.654981
2024-01-01 08:00:00+00:00,113.203072,1.486493
2024-01-01 09:00:00+00:00,108.363042,2.223783
2024-01-01 10:00:00+00:00,104.631927,3.265033
2024-01-01 11:00:00+00:00,100.940308,3.449124
2024-01-01 12:00:00+00:00,98.205449,4.540451
2024-01-01 13:00:00+00:00,99.281830,4.296274
2024-01-01 14:00:00+00:00,102.580119,4.628429
2024-01-01 15:00:00+00:00,107.273523,4.719483
2024-01-01 16:00:00+00:00,107.658155,5.876411
2024-01-01 17:00:00+00:00,111.405321,4.949062
2024-01-01 18:00:00+00:00,116.951920,4.763875
2024-01-01 19:00:00+00:00,114.620412,3.981291
2024-01-01 20:00:00+00:00,116.041143,2.690098
2024-01-01 21:00:00+00:00,113.029033,2.558227
2024-01-01 22:00:00+00:00,111.548880,1.444659
2024-01-01 23:00:00+00:00,109.827079,0.997296
2024-01-02 00:00:00+00:00,106.928092,1.177306
2024-01-02 01:00:00+00:00,106.241288,1.300789
2024-01-02 02:00:00+00:00,107.567798,1.257230
2024-01-02 03:00:00+00:00,108.665796,0.125633
2024-01-02 04:00:00+00:00,108.147407,-0.087558
2024-01-02 05:00:00+00:00,113.935974,-0.012986
2024-01-02 06:00:00+00:00,118.196527,-0.236033
2024-01-02 07:00:00+00:00,119.649936,-0.911850
2024-01-02 08:00:00+00:00,119.867558,-0.167774
2024-01-02 09:00:00+00:00,117.383079,0.942145
2024-01-02 10:00:00+00:00,111.808566,1.227468
2024-01-02 11:00:00+00:00,106.302368,2.305124
2024-01-02 12:00:00+00:00,103.631957,1.739794
2024-01-02 13:00:00+00:00,107.392465,1.376473
2024-01-02 14:00:00+00:00,110.918543,1.669893
2024-01-02 15:00:00+00:00,114.975721,1.410250
2024-01-02 16:00:00+00:00,117.190015,1.771294
2024-01-02 17:00:00+00:00,118.905190,1.851293
2024-01-02 18:00:00+00:00,121.367009,1.229240
2024-01-02 19:00:00+00:00,124.745168,-0.027253
2024-01-02 20:00:00+00:00,122.799307,-0.748555
2024-01-02 21:00:00+00:00,119.670791,-0.788427
2024-01-02 22:00:00+00:00,115.017108,-0.701966
2024-01-02 23:00:00+00:00,113.508103,-1.354907
